"year","month","P_anchoveta","P_jurel","P_sardina_comun","Q_anchoveta","Q_jurel","Q_sardina_comun"
2012,1,62000,184666.666666667,63000,6.85,67350.716,16.88
2012,2,62000,264000,66000,257.866,40827.649,34840.463
2012,3,66500,59000,65900,6729.877,25882.192,246995.9
2012,4,67000,250000,68636.3636363636,30577.224,19438.143,190814.775
2012,5,71000,NA,88545.4545454545,10886.609,15213.454,60009.513
2012,6,75142.8571428571,NA,78444.4444444444,2786.318,2610.76,31836.169
2012,7,77333.3333333333,110666.666666667,75444.4444444444,2110.48,51.315,43739.299
2012,8,85833.3333333333,140000,80111.1111111111,302.078,433.929,19686.012
2012,9,82800,209600,94000,34.349,1571.272,1097.433
2012,10,84142.8571428571,140000,83300,7392.50399999999,150.131,50721.097
2012,11,84714.2857142857,2e+05,85400,7308.018,44.568,108437.955
2012,12,86714.2857142857,150000,103300,4835.113,5750.28,60548.534
2013,1,NA,178666.666666667,NA,3.151,36666.158,381.685
2013,2,156679,160000,121026.5,252.02,35955.611,12087.563
2013,3,91209.25,NA,111354.6,21597.034,39730.953,67779.914
2013,4,90601.2,NA,125594.571428571,7411.365,35259.539,22539.181
2013,5,94069.6,NA,123742.428571429,3483.217,23008.586,19175.103
2013,6,101350,NA,137895.714285714,2842.523,5956.375,10071.041
2013,7,101972.666666667,NA,205826.25,750.4,0.195,33626.899
2013,8,NA,NA,NA,0.3,14.98,8.678
2013,9,NA,NA,NA,1.954,0,114.351
2013,10,90778.3333333333,NA,115680.25,1006.906,0,13120.517
2013,11,88730.6666666667,NA,173551.5,2382.56,8.828,34613.967
2013,12,109908.666666667,240255.25,195183.75,3609.001,7999.157,24428.419
2014,1,NA,200857.5,90000,2.656,31786.824,43.975
2014,2,88495,220000,89332.5,702.974,39398.319,16066.774
2014,3,93184.5,220000,85588.8888888889,10666.091,25714.73,196372.085
2014,4,95045.5,220000,87267.5555555556,27781.904,60964.413,119650.443
2014,5,95886.5,220000,94081.7142857143,9203.481,40609.842,48241.112
2014,6,94845,220000,93400.8333333333,1436.469,18459.384,42433.877
2014,7,96266,NA,98814.8,2024.533,8554.959,41888.492
2014,8,NA,220000,119060,98.942,973.058,37.768
2014,9,NA,NA,NA,0.773,123.646,0.631
2014,10,107642,220000,107574.5,2290.499,1155.45,32348.782
2014,11,104926,NA,106703,2850.752,0,44138.744
2014,12,114530,167265,114895.6,390.223,16240.833,5792.638
2015,1,1040024,NA,NA,221.374,21074.34,208.757
2015,2,985320,2e+05,467242.5,127.823,914.757,17016.056
2015,3,803827,2e+05,275324,2413.675,2434.572,79484.26
2015,4,NA,NA,224166,27988.314,47534.736,102946.975
2015,5,NA,2e+05,199321,15680.545,39922.182,71163.354
2015,6,NA,NA,295080.666666667,1583.537,53012.099,13037.4
2015,7,415514.666666667,250000,269975.8,997.946,23908.952,12892.246
2015,8,NA,250000,543693,63.361,27841.28,4677.28
2015,9,NA,250000,NA,40.596,194.066,33.95
2015,10,126881,250000,128296.5,1656.561,173.916,34077.631
2015,11,441405.333333333,250000,121784.2,9860.358,112.1,79735.0760000002
2015,12,118239.5,213172.5,118205,3558.808,9773.548,23926.191
2016,1,453160.333333333,504454,117678,114.639,63323.893,239.869
2016,2,605156.5,305100,108933.5,1383.087,16778.296,29493.965
2016,3,310097.4,157000,120938.666666667,30622.06,23188.495,40715.301
2016,4,114444,2e+05,111944,9916.19400000001,45311.535,16313.857
2016,5,115000,450000,110000,8370.932,42376.959,26720.118
2016,6,588045.5,2e+05,110000,5474.125,35130.141,33770.975
2016,7,1e+05,2e+05,118304.25,2900.651,8906.078,20547.013
2016,8,NA,NA,NA,26.24,8462.757,71.387
2016,9,NA,NA,NA,13.1,105.382,208.078
2016,10,835823,NA,121107.333333333,1918.88,3670.678,28470.199
2016,11,NA,NA,117263,12210.441,3042.278,60041.66
2016,12,957389,2e+05,119794.75,972.131,25621.55,25501.562
2017,1,NA,674474.75,NA,46.971,16897.188,202.532
2017,2,NA,2e+06,1e+05,1341.093,4012.23,20605.559
2017,3,98060,1120000,101305.4,13893.26,38980.798,169656.518
2017,4,116899.333333333,1120000,113139.6,6200.24,53285.755,34265.108
2017,5,104230,786666.666666667,105858,8768.418,70295.029,30949.613
2017,6,110054,1120000,108777,2075.816,28097.369,13014.722
2017,7,NA,240000,196265.5,1699.828,39117.077,12926.534
2017,8,NA,240000,663567,93.338,19115.254,93.362
2017,9,NA,NA,NA,18.044,4576.857,24.795
2017,10,95000,NA,213770.833333333,3043.841,3,20624.767
2017,11,96041,NA,230635.333333333,15477.358,8.714,28720.39
2017,12,97031,NA,196958.5,4618.351,13798.444,13904.765
2018,1,NA,223733,NA,9.254,47397.357,25.076
2018,2,215570,227307.666666667,167785,2141.916,50863.59,15461.511
2018,3,117380.666666667,230000,116677.857142857,15468.492,41909.306,129505.827
2018,4,127970,230000,123341,11899.627,42882.013,76365.922
2018,5,146284,230000,117008.6,7508.449,65005.523,31355.128
2018,6,155509,230000,129720,5597.892,48548.882,23661.932
2018,7,90000,210000,98620.6666666667,16.051,44127.09,1343.479
2018,8,NA,210000,NA,0.715,14828.786,60.001
2018,9,NA,210000,NA,98.484,474.976,161.82
2018,10,133029,NA,119849.2,1658.615,30.945,12456.343
2018,11,127084.333333333,NA,119196.428571429,15864.485,12.635,47184.3310000001
2018,12,142992.666666667,210000,130350.714285714,1416.973,48958.817,7839.774
2019,1,NA,235000,612823,199.34,51711.327,68.83
2019,2,116019,230000,182808,92.641,69625.814,12962.758
2019,3,143172,537759.5,245309.833333333,31798.8,75045.512,108830.061
2019,4,131746.333333333,230000,247995,44711.911,57823.213,65829.346
2019,5,136960.666666667,230000,263071,26871.669,47759.852,32305.721
2019,6,132715.666666667,230000,248306.714285714,13108.64,57879.616,14043.367
2019,7,122358.666666667,230000,101409.8,4331.212,38361.758,7664.083
2019,8,NA,348500,NA,106.595,4029.446,10.86
2019,9,NA,NA,10000,80.719,60.073,14.241
2019,10,NA,NA,588562,104.166,22.408,467.691
2019,11,156470,NA,92156.6666666667,28448.712,575.264,47715.963
2019,12,152402.666666667,230000,100900.875,8315.578,16978.401,30366.257
2020,1,NA,241905,NA,35.725,80473.198,78.443
2020,2,124176,188001,124176,2591.619,102478.116,6170.065
2020,3,126601.25,161986.666666667,139067.5,7767.469,77125.611,35224.991
2020,4,142511.75,188079.25,142578.142857143,53235.636,60908.15,104305.048
2020,5,170037.666666667,180163,156352.166666667,41502.435,66974.87,37355.823
2020,6,163731.666666667,201229,156032.5,13609.637,51820.874,8706.609
2020,7,174124,210000,157374.666666667,6638.683,24631.676,4312.121
2020,8,NA,NA,NA,383.576,6927.787,332.184
2020,9,NA,NA,NA,214.77,900.75,24.611
2020,10,NA,NA,NA,665.724,0,8246.539
2020,11,191823,NA,163274.333333333,35925.038,1411.473,30231.04
2020,12,263052,210000,187017.333333333,6567.447,23264.142,27299.391
2021,1,NA,240000,NA,978.806,90400.383,753.226
2021,2,NA,240000,NA,1155.092,84373.059,4135.686
2021,3,158498,240000,148998.666666667,56042.2380000001,72789.49,184713.51
2021,4,168097.5,240000,155398.333333333,48236.97,72246.508,95610.4170000002
2021,5,176218,240000,160812,41749.39,70916.722,20628.112
2021,6,189262,240000,159631,15501.417,65446.401,5552.879
2021,7,144209,NA,144209,3353.351,37352.678,1719.89
2021,8,NA,NA,NA,52.107,795.2,5.588
2021,9,NA,NA,NA,16.188,59.688,2.603
2021,10,NA,NA,NA,338.657,9.5,4915.918
2021,11,161025,NA,145512.5,7250.078,72.262,19248.93
2021,12,162192,NA,NA,536.807,31153.926,6931.957
2022,1,NA,350000,NA,33.513,97014.663,13.217
2022,2,186161,NA,174062,1048.195,78072.562,14733.465
2022,3,161695.5,NA,182376,91966.4719999998,82880.506,110846.897
2022,4,168052.5,NA,185527,59670.8380000001,65485.175,33162.711
2022,5,171073,NA,197958,23351.412,90509.648,10287.694
2022,6,173214.5,NA,186367,15566.766,72138.651,12472.874
2022,7,228717,NA,231917,1877.418,55775.654,1201.318
2022,8,NA,NA,NA,1059.206,13262.097,24.739
2022,9,NA,NA,NA,23.488,2876.587,0.363
2022,10,203429,NA,206435,526.989,170.68,7973.253
2022,11,172375,245000,171824.5,22373.055,2653.804,18881.949
2022,12,165320,245000,164905.5,1273.641,55399.36,14344.204
2023,1,NA,290000,NA,558.589,98336.596,137.907
2023,2,193000,290000,193000,1039.854,116416.411,5676.291
2023,3,176500,290000,176500,38083.561,95917.841,206754.277
2023,4,181000,290000,181000,47399.7519999999,93841.48,101672.791
2023,5,188500,290000,188500,43375.2299999999,91945.899,40972.839
2023,6,190500,290000,190500,27267.956,78424.891,8954.295
2023,7,231000,NA,231000,6538.208,21642.242,2165.456
2023,8,NA,NA,NA,10.704,911.177,10.171
2023,9,NA,NA,NA,249.945,19.58,0.173
2023,10,271000,NA,271000,2219.706,52.659,4059.041
2023,11,203000,290000,246000,24344.918,38856.918,26515.151
2023,12,191500,NA,223000,5020.912,68828.974,13455.285
2024,1,NA,3e+05,NA,96.716,143748.732,0.048
2024,2,NA,NA,NA,3378.309,124846.621,5675.27399999999
2024,3,190000,3e+05,190000,37704.742,104571.622,63773.904
2024,4,190000,3e+05,190000,22415.663,122787.628,10462.345
2024,5,190000,3e+05,190000,37413.006,85034.452,9202.514
2024,6,190000,NA,190000,2877.019,31222.402,954.994
2024,7,NA,NA,NA,6774.585,68234.036,13324.862
2024,8,NA,NA,NA,23.629,40839.338,73.35
2024,9,NA,NA,NA,49.579,3977.685,49.934
2024,10,NA,NA,NA,2569.796,8932.036,2955.358
2024,11,NA,NA,NA,5608.318,34756.848,14975.001
2024,12,NA,NA,NA,2286.991,113863.534,8168.041
